01-APR-20,01-APR-20,0,,B/F ...,0.00,"666,723.64","666,723.64"
30-APR-20,30-APR-20,18556,340062370615,FT-DR-,"229,210.00",0.00,"437,513.64"
,,,,85563100000012-,,,
,,,,OLTAS COLLECTION,,,
,,,,ACC,,,
26-JUN-20,26-JUN-20,19001,340062370616,TOCLGCHEQUE,"2,391.00",0.00,"435,122.64"
,,,,PAID IN CLEARING-,,,
,,,,SERVBR-DELHI-FOR,,,
,,,,PAYEE GHAZIABAD,,,
,,,,STATIONERY MAR-,,,
,,,,OBC,,,
07-JUL-20,07-JUL-20,18556,340062370617,NEFT:,"147,872.00",0.00,"287,250.64"
,,,,P20070755289272:GST,,,
07-JUL-20,07-JUL-20,18556,,NEFT SERVICE,17.40,0.00,"287,233.24"
,,,,CHARGESWITH GST,,,
,,,,AT18PC,,,
16-JUL-20,16-JUL-20,18556,340062370619,NEFT:,"13,600.00",0.00,"273,633.24"
,,,,P20071663151164:GST,,,
16-JUL-20,16-JUL-20,18556,,NEFT SERVICE,5.60,0.00,"273,627.64"
,,,,CHARGES WITH GST,,,
,,,,AT 18PC,,,
21-JUL-20,22-JUL-20,18556,903967009786,BYCLG-CTS-1DAY,0.00,"85,687.00","359,314.64"
,,,,FLOAT-HDFC BANK,,,
04-AUG-20,04-AUG-20,19001,340062370618,TOCLG:CHEQUE,700.00,0.00,"358,614.64"
,,,,PAID IN CLEARING-,,,
,,,,SERVBR-DELHI-FOR,,,
,,,,PAYEE SAMPADA,,,
,,,,LOOMBA AND ASSOCI,,,
,,,,-UBI,,,
25-AUG-20,26-AUG-20,18556,100138305339,BYCLG-CTS-1DAY,0.00,"199,546.00","558,160.64"
,,,,FLOAT-IND BANK,,,
22-SEP-20,22-SEP-20,18556,340062370621,NEFT:,"47,108.00",0.00,"511,052.64"
,,,,P20092295059619:GST,,,
22-SEP-20,22-SEP-20,18556,,NEFT SERVICE,5.60,0.00,"511,047.04"
,,,,CHARGES WITH GST,,,
,,,,AT 18PC,,,
28-SEP-20,29-SEP-20,18556,900122309567,BY CLG-CTS-1 DAY,0.00,"252,288.00","763,335.04"
,,,,FLOAT-IND BANK,,,
