IRANS,VALOE,BRANCH,,ESCRIPTION,,,SALANCE,
DATE,DATE,,,,,,,
,,,,PVAR AND,,,,
,,,,ASSOCIATES-PUNJAB,,,,
,,,,NATIONAL BANK (PNB),,,,
,,,,-PUNJAB NATIONAL,,,,
,,,,BANK,,,,
18-AUG-21,18-AUG-21,1745,000000776475,CHQ PAID-MICR,"3,937.00",0.00,,"260,964.79"
,,,,INWARD CLEARING,,,,
,,,,GHAZIABAD,,,,
,,,,STATIONERY MAR-,,,,
,,,,PUNJAB NATIONAL,,,,
,,,,BANK (PNB)-PUNJAB,,,,
,,,,NATIONAL BANK,,,,
18-AUG-21,18-AUG-21,9999,776474,CIN-,900.00,0.00,,"260,064.79"
,,,,0240558180820210000,,,,
,,,,2HO,,,,
20-AUG-21,20-AUG-21,1745,000000566646,BY CLG:DELACCTS-,0.00,"285,042.00",,"545,106.79"
,,,,"AXIS BANK LTD,",,,,
30-AUG-21,30-AUG-21,1745,000000577177,BY CLG:DEL ACCTS-,0.00,"40,341.00",,"585,447.79"
,,,,"AXIS BANK LTD,",,,,
04-SEP-21,04-SEP-21,18556,000000776477,DEBIT-GAURAV,"500,000.00",0.00,,"85,447.79"
,,,,GARG S/O ATUL,,,,
,,,,KUMAR GARG,,,,
EP-21,09-SEP-21,1745,000000776476,CHQ PAID-MICR,300.00,0.00,,"85,147.79"
,,,,INWARD CLEARING-,,,,
,,,,SUMIT LOOMBASO,,,,
,,,,SH VIRE-UNIONBANK,,,,
,,,,OF INDIA (UBI)-UNION,,,,
,,,,BANK OF INDIA,,,,
23-SEP-21,23-SEP-21,18556,,SMS ALERT CHARGES,30.00,0.00,,"85,117.79"
,,,,CA,,,,
20-OCT-21,20-OCT-21,1953,776478,CIN-,"3,860.00",0.00,,"81,257.79"
,,,,0240558201020210000,,,,
,,,,2NGP LINKCELL,,,,
25-OCT-21,25-OCT-21,1745,000000566666,BY CLG:DEL ACCTS-,0.00,"528,285.00",,"609,542.79"
,,,,"AXIS BANK LTD,",,,,
,,,,INPROSPER INFRA,,,,
,,,,LLP,,,,
27-OCT-21,27-OCT-21,18556,000000776479,NEFTDR-,"104,008.00",0.00,,"505,534.79"
,,,,P300210134550771-,,,,
,,,,GST-RBISOGSTPMT-,,,,
,,,,GHAZIABAD(M),,,,
27-OCT-21,27-OCT-21,18556,,NEFT SC,18.00,0.00,,"505,516.79"
24-NOV-21,24-NOV-21,1745,000000566715,BY CLG:DEL ACCTS-,0.00,"67,800.00",,"573,316.79"
,,,,INPROSPER INFRAST,,,,
07,07-DEC-21,18556,000000688065,FUNDS TRANSFER,0.00,"1,400,000.00",,"1,973,316.79"
,,,,DEBIT 85563070000477,,,,
,,,,- EXPERT CAPITAL,,,,
,,,,SERVI,,,,
07-DEC-21, 07-DEC-21,18556,000000776482,FUNDS TRANSFER,"1,400,000.00",0.00,,"573,316.79"
,,,,DEBIT - GAURAV,,,,
,,,,GARG S/O ATUL,,,,
,,,, KUMAR GARG,,,,
07-DEC-21,07-DEC-21,1953,776481,CIN-:,"2,060.00",0.00,,571;256.79
,,,,0240558071220210000,,,,
,,,,7 NGP LINKCELL,,,,
09-DEC-21,09-DEC-21,1745,000000776480,CHQ PAID-MICR,"18,895.00",0.00,,"552,361.79"
,,,,INWARD CLEARING-,,,,
,,,,PVAR AND,,,,
,,,,ASSOCIATES-PUNJAB,,,,
,,,,NATIONAL BANK (PNB),,,,
,,,,-PUNJAB NATIONAL,,,,
,,,,BANK,,,,
23-DEC-21-,23-DEC-21,18556,,SMS ALERT CHARGES,30.00,0.00,,"552,331.79"
,,,,CA,,,,
27-DEC-21, 27-DEC-21,1745,000000599028,BY CLG:DEL ACCTS-,0.00,"383,217.00",,"935,548.79"
,,,,"AXIS BANK LTD,",,,,
,,,,INPROSPER,,,,
