TRANS,VALUE,BRANCH,REF/CHQ.NO,DESCRIPTION,WITHDRAWS,DEPOSIT,,BALANCE,
DATE,DATE,,,,,,,,
,,,,GARG,,,,,
24-NOV-22,24-NOV-22,1745,000237776511,CHQ PAID-MICR,"2,500.00",0.00,,,"574,488.79"
,,,,INWARD CLEARING-,,,,,
,,,,SUMIT LOOMBA S O,,,,,
,,,,SH VIRE-UNION BANK,,,,,
,,,,OF INDIA (UBI}-UNION,,,,,
,,,,BANK OF INDIA,,,,,
24-NOV-22,24-NOV-22,1745,000000634668,BY CLG:DEL ACCTS-,0.00,"169,500.00",,,"743,988.79"
,,,,"AXIS BANK LTD,",,,,,
,,,,NPROSPER,,,,,
,,,,NFRASTRUCTURE LLP,,,,,
28-NOV-22,28-NOV-22,1953,000237776510,22112800002699-TIN-,"2,600.00",0.00,,,"741,388.79"
,,,,CHEQUE NGP,,,,,
,,,,LINKCELL,,,,,
29-NOV-22,29-NOV-22,1745,000237776512,CHQ PAID-MICR,"5,576.00",0.00,,,"735,812.79"
,,,,INWARD CLEARING,,,,,
,,,,GHAZIABAD,,,,,
,,,,STATIONERY MAR-,,,,,
,,,,PUNJAB NATIONAL,,,,,
,,,,BANK (PNB)-PUNJAB,,,,,
,,,,NATIONAL BANK,,,,,
05-DEC-22,05-DEC-22,1745,000237776509,CHQ PAlD-MICR,"28,080.00",0.00,,,"707,732.79"
,,,,INWARD CLEARING-,,,,,
,,,,PVAR AND,,,,,
,,,,ASSOCIATES-PUNJAB,,,,,
,,,,NATIONAL BANK (PNB),,,,,
,,,,-PUNJAB NATIONAL,,,,,
,,,,BANK,,,,,
23-DEC-22,23-DEC-22,18556,,SMS CHARGES ON,2.00,0.00,,,"707,730.79"
,,,,ACTUAL BASIS,,,,,
15-FEB-23,15-FEB-23,18556,000237776514,NEFT DR-,"49,256.00",0.00,,,"658,474.79"
,,,,P046230221208085-,,,,,
,,,,RBISOGSTPMT-GST-,,,,,
15-FEB-23,15-FEB-23,18556,,NEFT $C,6.00,0.00,,,"658,468.79"
04-MAR-23,04-MAR-23,18556,000237776515,FUNDS TRANSFER,"200,000.00",0.00,,,"458,468.79"
,,,,DEBIT - GAURAV,,,,,
,,,,GARG,,,,,
26-MAR-23,26-MAR-23,18556,,SMS CHARGES ON,1.00,0.00,,,"458,467.79"
,,,,ACTUAL BASIS,,,,,
Statement Summary :,Statement Summary :,,,,,,,,
Opening Balance,Opening Balance,Total Debit,Total Credit Amount,Debit Count,Credit,Closing,Unclear,Sweep-in,Sweep-in
