TRANS,VALUE,BRANCH,REF/CHQ.NO,DESCRIPTION,WITHDRAWS,DEPOSIT,BALANCE,
DATE,DATE,,,,,,,
30-SEP-20,30-SEP-20,18556,,CA FOLIO CHGS WITH,57.00,0.00,,"763,278.04"
,,,,GSTAT 18PC,,,,
03-OCT-20,05-OCT-20,18556,100137553632,BY CLG-CTS-1 DAY,0.00,"807,385.00",,"1,570,663.04"
,,,,FLOAT-IND BANK,,,,
06-OCT-20,07-OCT-20,18556,095490049195,BY CLG-CTS-1 DAY,0.00,"86,133.00",,"1,656,796.04"
,,,,FLOAT-UTIB BANK,,,,
06-OCT-20,06-OCT-20,18556,340062370622,FT-DR-,"1,500,000.00",0.00,,"156,796.04"
,,,,85563070000477-,,,,
,,,,EXPERT CAPITAL,,,,
,,,,SERVI,,,,
12-OCT-20,12-OCT-20,19001,340062370620,TO CLG:CHEQUE,"2,500.00",0.00,,"154,296.04"
,,,,PAID IN CLEARING-,,,,
,,,,SERVBR-DELHI-FOR,,,,
,,,,PAYEE SAMPADA,,,,
,,,,LOOMBA AND ASSOCI,,,,
,,,,-UBI,,,,
28-OCT-20,28-OCT-20,18556,340062370625,NEFT:,"17,490.00",0.00,,"136,806.04"
,,,,P201028106595261:,,,,
,,,,GST,,,,
28-OCT-20,28-OCT-20,18556,,NEFT SERVICE,5.60,0.00,,"136,800.44"
,,,,CHARGES WITH GST,,,,
,,,,AT18PC,,,,
NOV-20,02-NOV-20,19001,340062370623,TOCLGCHEQUE,"2,500.00",0.00,,"134,300.44"
,,,,PAID IN CLEARING-,,,,
,,,,SERVBR-DELHI-FOR,,,,
,,,,PAYEE SAMPADA,,,,
,,,,LOOMBA AND ASSOCI,,,,
,,,,-UBI,,,,
06-NOV-20,06-NOV-20,19001,340062370626,TOCLGCHEQUE,"2,888.00",0.00,,"131,412.44"
,,,,PAID IN CLEARING-,,,,
,,,,SERVBR-DELHI-FOR,,,,
,,,,PAYEEGHAZIABAD,,,,
,,,,STATIONERY MAR-,,,,
,,,,OBC,,,,
11-NOV-20,11-NOV-20,19001,340062370624,TO CLG:CHEQUE,"5,900.00",0.00,,"125,512.44"
,,,,PAID IN CLEARING-,,,,
,,,,SERVBR-DELHI-FOR,,,,
,,,,PAYEE PVAR AND,,,,
,,,,ASSOCIATES-PNB,,,,
26-NOV-20,27-NOV-20,18556,095460531179,BYCLG-CTS-1DAY,0.00,"74,626.00",,"200,138.44"
,,,,FLOAT-UTIBBANK,,,,
01-DEC-20,01-DEC-20,18556,340062370628,NEFT:,"8,600.00",0.00,,"191,538.44"
,,,,P201201121947274:,,,,
,,,,GST,,,,
01-DEC-20,01-DEC-20,18556,,NEFT SERVICE,2.65,0.00,,"191,535.79"
,,,,CHARGES WITH GST,,,,
,,,,AT 18PC,,,,
EC-20,03-DEC-20,19001,340062370627,TO CLG:CHEQUE,"21,240.00",0.00,,"170,295.79"
,,,,PAID IN CLEARING-,,,,
,,,,SERVBR-DELHI-FOR,,,,
,,,,PAYEE PVAR AND,,,,
,,,,ASSOCIATES-PNB,,,,
28-DEC-20,28-DEC-20,18556,,CHEQUE ISSUE SC SC,472.00,0.00,,"169,823.79"
,,,,FORNORMAL,,,,
,,,,DELIVERY,,,,
28-DEC-20,28-DEC-20,18556,,CHEQUE ISSUE SC SC,590.00,0.00,,"169,233.79"
,,,,FORNORMAL,,,,
,,,,CHEQUE BOOK,,,,
,,,,DELIVERY,,,,
31-DEC-20,31-DEC-20,18556,,CA FOLIO CHGS WITH,57.00,0.00,,"169,176.79"
,,,,GSTAT 18PC,,,,
08-JAN-21,08-JAN-21,19001,340062370630,TOCLGCHEQUE,"25,606.00",0.00,,"143,570.79"
,,,,PAID IN CLEARING -,,,,
,,,,SERVBR-DELHI- FOR,,,,
,,,,PAYEE PVAR AND,,,,
,,,,ASSOCIATES-PNB,,,,
15-JAN-21,15-JAN-21,19001,340062370629,TO CLG:CHEQUE,"2,500.00",0.00,,"141,070.79"
,,,,PAID IN CLEARING,,,,
,,,,SERVBR-DELHI-FOR,,,,
