DATE,DATE,,,,,,
01-APR-22,01-APR-22,0,,B/F...,0.00,"251,318.79","251,318.79"
13-APR-22,13-APR-22,18556,000237776489,FUNDS TRANSFER,"200,000.00",0.00,"51,318.79"
,,,,DEBIT - GAURAV,,,
,,,,GARG S/O ATUL,,,
,,,,KUMAR GARG,,,
15-APR-22,15-APR-22,1745,000000599071,BY CLG:DELACCTS-,0.00,"157,525.00","208,843.79"
,,,,"AXIS BANK LTD,",,,
,,,,INPROSPER,,,
,,,,INFRASTRUCTURE,,,
22-APR-22,22-APR-22,18556,000000000000,ECS,0.00,"42,410.00","251,253.79"
,,,,AAJCM6567CAY202122,,,
29-APR-22,29-APR-22,18556,000237776492,NEFTDR-,"109,186.00",0.00,"142,067.79"
,,,,P119220166560280-,,,
,,,,RBISOGSTPMT-GST-,,,
29-APR-22,29-APR-22,18556,,NEFT SC,18.00,0.00,"142,049.79"
29-APR-22,29-APR-22,1953,237776493,CIN-,"55,434.00",0.00,"86,615.79"
,,,,0240558290420220001,,,
,,,,8 NGP LINKCELL,,,
07-MAY-22,07-MAY-22,1745,000237776490,CHQ PAID-MICR,"4,576.00",0.00,"82,039.79"
,,,,INWARD CLEARING-,,,
,,,,GHAZIABAD,,,
,,,,STATIONERY MAR-,,,
,,,,PUNJAB NATIONAL,,,
,,,,BANK (PNB)-PUNJAB,,,
,,,,NATIONAL BANK,,,
30-MAY-22,30-MAY-22,18556,000435589400,FUNDS TRANSFER,0.00,"200,000.00","282,039.79"
,,,,DEBIT 85563070000477,,,
,,,,- EXPERT CAPITAL,,,
,,,,SERVI,,,
30-MAY-22,30-MAY-22,18556,000237776499,FUNDS TRANSFER,"200,000.00",0.00,"82,039.79"
,,,,DEBIT - GAURAV,,,
,,,,GARG,,,
 01 JUN 23,01-JUN-22,18556,000435589396,FUNDS TRANSFER,0.00,"400,000.00","482,039.79"
,,,,DEBIT 86563070000177,,,
,,,,- EXPERT CAPITAL,,,
,,,,SERVI,,,
02-JUN-22,02-JUN-22,18556,000237776498,RTGS DR-,"400,000.00",0.00,"82,039.79"
